source,model,status,calculator_model,reason
App catalog,VIOFO A229 Ultra,Included,Viofo A229 Ultra,"Available setups: front, front-rear, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A139 Pro,Included,Viofo A139 Pro,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,VIOFO T130,Included,Viofo T130,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A129 Pro,Included,Viofo A129 Pro,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A129 Plus Duo,Included,Viofo A129 Plus Duo,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A129 Duo,Included,Viofo A129 Duo,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A119M Pro,Included,Viofo A119M Pro,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,VIOFO A119 Mini 2,Included,Viofo A119 Mini 2,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,VIOFO A119 V3,Included,Viofo A119 v3,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,VIOFO VS1,Included,Viofo VS1,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,VIOFO WM1,Included,Viofo WM1,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,VIOFO MT1,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A329SW,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A329TC,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A329TW,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A329WW,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A229 Ultra-W,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A229 Pro-W,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A229 Plus-W,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A229 Pro Tele,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware U3000 Pro,Included,Thinkware U3000 Pro,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,Thinkware U3000,Included,Thinkware U3000,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,Thinkware U1000 Plus,Included,Thinkware U1000 Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,Thinkware U1000,Included,Thinkware U1000,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,Thinkware Q1000,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware Q850,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware Q800 Pro,Included,Thinkware Q800 Pro,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,Thinkware Q200,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware ARC,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware ARC 700,Missing: profile lacks driving rates,,Profile has recognition/configuration facts but no usable driving bitrate or recording-time figure. Needs measured driving files or a published duration/bitrate.
App catalog,Thinkware ARC 800,Included,Thinkware ARC 800,Recovered complete-file driving storage evidence from original submissions or archived recordings. Only measured configuration is selectable.
App catalog,Thinkware ARC 900,Missing: profile lacks driving rates,,Profile has recognition/configuration facts but no usable driving bitrate or recording-time figure. Needs measured driving files or a published duration/bitrate.
App catalog,Thinkware T700,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F790,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F70 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F70,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F200 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F200,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware FA200,Included,Thinkware FA200,Recovered complete-file driving storage evidence from original submissions or archived recordings. Only measured configuration is selectable.
App catalog,Thinkware F800 Pro,Included,Thinkware F800 Pro,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,Thinkware F800,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F770,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware F750,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X1000,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X800,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X700,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X550,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X500,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware X350,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware QA100,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware FA700,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware QN300,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware QN200,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware QN100,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Thinkware M1,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue Elite 10,Included,Blackvue Elite 10,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue Elite 9,Included,Blackvue Elite 9,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue Elite 8,Included,Blackvue Elite 8,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue K970X Plus,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue K770X,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue DR970X Plus II,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue DR970X 2CH LTE Plus II,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue DR970X 2CH IR Plus,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue DR970X Box 2CH Plus,Included,Blackvue DR970X Box Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR970X Plus,Included,Blackvue DR970X Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR970X LTE Plus,Included,Blackvue DR970X LTE Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR970X Box Plus,Included,Blackvue DR970X Box Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR970X,Included,Blackvue DR970X,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR770X Series II,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,BlackVue DR770X,Included,Blackvue DR770X,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR770X Box,Included,Blackvue DR770X Box,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR900X Plus,Included,Blackvue DR900X Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR900X,Included,Blackvue DR900X,Available setups: front-rear. Coverage does not imply every menu setting or setup.
App catalog,BlackVue DR900S,Included,Blackvue DR900S-2CH,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR750X Plus,Included,Blackvue DR750X Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR750X 3CH Plus,Included,Blackvue DR750X Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR750X 2CH LTE Plus,Included,Blackvue DR750X LTE Plus,Available setups: front-rear. Coverage does not imply every menu setting or setup.
App catalog,BlackVue DR750X,Included,Blackvue DR750X,Available setups: front-rear. Coverage does not imply every menu setting or setup.
App catalog,BlackVue DR750S,Included,Blackvue DR750S-2CH,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR650S,Included,Blackvue DR650S-2CH,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR590X Plus,Included,Blackvue DR590X Plus,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,BlackVue DR590X,Included,Blackvue DR590X,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,Vantrue Nexus 5S,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue Nexus 5,Included,Vantrue N5,Available setups: front-interior_front-interior_rear-rear. Coverage does not imply every menu setting or setup.
App catalog,Vantrue N4 Pro S,Included,Vantrue N4 Pro S,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,Vantrue Nexus 4 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue N4 S,Included,Vantrue N4 S,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,Vantrue OnDash N4,Included,Vantrue N4,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,Vantrue Nexus 2X,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue N2 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue N2S,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue E360 ACE,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue E360 Plus,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue E360,Included,Vantrue E360,"Available setups: panoramic_front, panoramic_front-rear. Coverage does not imply every menu setting or setup."
App catalog,Vantrue Element 3,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue Element 2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue Element 1 Pro,Included,Vantrue E1 Pro,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,Vantrue Element 1,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue E1 Lite,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue E2 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue S1 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue S1 Pro Max,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue S1,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue S2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue Falcon 1,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue P2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue N1 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue N2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue X4S,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue X4,Included,Vantrue X4,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,Vantrue T3,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue T2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue M3,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue M2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue VP05,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue VP03,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vantrue VP01,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai T800,Included,70mai T800,Available setups: front-rear-interior. Coverage does not imply every menu setting or setup.
App catalog,70mai 4K Omni X800,Included,70mai 4K Omni X800,"Available setups: front, front-rear. Coverage does not imply every menu setting or setup."
App catalog,70mai X200,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A810S,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A810,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A810 Lite,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A800,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A800SE,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A800S,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A510,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai Pro Plus+,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A410,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A400,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai A200,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai M310 Plus 4K,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai M310,Included,70mai M310,Available setups: front. Coverage does not imply every menu setting or setup.
App catalog,70mai M500,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai M300,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,70mai T400,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Tesla TeslaCam 6-Camera,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Tesla TeslaCam 4-Camera,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Tesla TeslaCam,Missing: profile lacks driving rates,,Profile has recognition/configuration facts but no usable driving bitrate or recording-time figure. Needs measured driving files or a published duration/bitrate.
App catalog,Redtiger F77,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F7NP,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F7NA,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F7NT,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F7N Elite,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger VC70,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F17 Elite,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F17,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger A6,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger VP20,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F17 Plus,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger VP40,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F7N,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F9,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F8,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F5,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F4,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F4 Pro,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Redtiger F9 Lite,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
